id,sportradar_player_id,player_name,name,position,price,salary,projected_points,avg_fppg,team,recent_team,opponent_team,opponent_display,home_away,game_time,gameday,stadium,game_id,headshot_url,jersey_number,roster_status,rank,prediction_rank,confidence
connor_bazelak_TB_2025,,Connor Bazelak,Connor Bazelak,QB,4000,4000,1.0,1.0,TB,TB,ATL,@ ATL,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,,,ACT,91,91,0
dj_uiagalelei_LAC_2025,,DJ Uiagalelei,DJ Uiagalelei,QB,4000,4000,1.0,1.0,LAC,LAC,KC,vs KC,home,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,92,92,0
max_brosmer_MIN_2025,,Max Brosmer,Max Brosmer,QB,4000,4000,1.0,1.0,MIN,MIN,CHI,@ CHI,away,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,93,93,0
ben_wooldridge_NE_2025,,Ben Wooldridge,Ben Wooldridge,QB,4000,4000,1.0,1.0,NE,NE,LV,vs LV,home,Sun 09/07 13:00,2025-09-07,Gillette Stadium,2025_01_LV_NE,,,ACT,94,94,0
taylor_elgersma_GB_2025,,Taylor Elgersma,Taylor Elgersma,QB,4000,4000,1.0,1.0,GB,GB,DET,vs DET,home,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,,,ACT,95,95,0
payton_thorne_CIN_2025,,Payton Thorne,Payton Thorne,QB,4000,4000,1.0,1.0,CIN,CIN,CLE,@ CLE,away,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,96,96,0
jarrett_stidham_DEN_2025,,Jarrett Stidham,Jarrett Stidham,QB,4000,4000,0.6,0.6,DEN,DEN,TEN,vs TEN,home,Sun 09/07 16:05,2025-09-07,Empower Field at Mile High,2025_01_TEN_DEN,,,ACT,97,97,0
josh_johnson_WAS_2025,,Josh Johnson,Josh Johnson,QB,4000,4000,0.6,0.6,WAS,WAS,NYG,vs NYG,home,Sun 09/07 13:00,2025-09-07,FedExField,2025_01_NYG_WAS,,,ACT,98,98,0
jake_browning_CIN_2025,,Jake Browning,Jake Browning,QB,4000,4000,0.5,0.5,CIN,CIN,CLE,@ CLE,away,Sun 09/07 13:00,2025-09-07,FirstEnergy Stadium,2025_01_CIN_CLE,,,ACT,99,99,0
hendon_hooker_DET_2025,,Hendon Hooker,Hendon Hooker,QB,4000,4000,0.5,0.5,DET,DET,GB,@ GB,away,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,,,ACT,100,100,0
marcus_mariota_WAS_2025,,Marcus Mariota,Marcus Mariota,QB,4000,4000,0.5,0.5,WAS,WAS,NYG,vs NYG,home,Sun 09/07 13:00,2025-09-07,FedExField,2025_01_NYG_WAS,,,ACT,101,101,0
tyson_bagent_CHI_2025,,Tyson Bagent,Tyson Bagent,QB,4000,4000,0.4,0.4,CHI,CHI,MIN,vs MIN,home,Mon 09/08 20:15,2025-09-08,Soldier Field,2025_01_MIN_CHI,,,ACT,102,102,0
malik_willis_GB_2025,,Malik Willis,Malik Willis,QB,4000,4000,0.4,0.4,GB,GB,DET,vs DET,home,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,,,ACT,103,103,0
brandon_allen_TEN_2025,,Brandon Allen,Brandon Allen,QB,4000,4000,0.3,0.3,TEN,TEN,DEN,@ DEN,away,Sun 09/07 16:05,2025-09-07,Empower Field at Mile High,2025_01_TEN_DEN,,,ACT,104,104,0
clayton_tune_ARI_2025,,Clayton Tune,Clayton Tune,QB,4000,4000,0.2,0.2,ARI,ARI,NO,@ NO,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Superdome,2025_01_ARI_NO,,,ACT,105,105,0
mike_white_BUF_2025,,Mike White,Mike White,QB,4000,4000,0.2,0.2,BUF,BUF,BAL,vs BAL,home,Sun 09/07 20:20,2025-09-07,New Era Field,2025_01_BAL_BUF,,,ACT,106,106,0
taylor_heinicke_LAC_2025,,Taylor Heinicke,Taylor Heinicke,QB,4000,4000,0.2,0.2,LAC,LAC,KC,vs KC,home,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,107,107,0
nick_mullens_JAX_2025,,Nick Mullens,Nick Mullens,QB,4000,4000,0.2,0.2,JAX,JAX,CAR,vs CAR,home,Sun 09/07 13:00,2025-09-07,TIAA Bank Stadium,2025_01_CAR_JAX,,,ACT,108,108,0
kyle_allen_DET_2025,,Kyle Allen,Kyle Allen,QB,4000,4000,0.2,0.2,DET,DET,GB,@ GB,away,Sun 09/07 16:25,2025-09-07,Lambeau Field,2025_01_DET_GB,,,ACT,109,109,0
trey_lance_LAC_2025,,Trey Lance,Trey Lance,QB,4000,4000,0.1,0.1,LAC,LAC,KC,vs KC,home,Fri 09/05 20:00,2025-09-05,SoFi Stadium,2025_01_KC_LAC,,,ACT,110,110,0
davis_mills_HOU_2025,,Davis Mills,Davis Mills,QB,4000,4000,0.1,0.1,HOU,HOU,LA,@ LA,away,Sun 09/07 16:25,2025-09-07,SoFi Stadium,2025_01_HOU_LA,,,ACT,111,111,0
kyle_trask_TB_2025,,Kyle Trask,Kyle Trask,QB,4000,4000,0.1,0.1,TB,TB,ATL,@ ATL,away,Sun 09/07 13:00,2025-09-07,Mercedes-Benz Stadium,2025_01_TB_ATL,,,ACT,112,112,0
