player_id,player_name,player_display_name,position_x,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,gsis_id,position_y,game_id,pfr_game_id,game_type,pfr_player_id,position,team,opponent,offensive_snaps,offensive_snap_pct,defensive_snaps,defensive_snap_pct,special_teams_snaps,special_teams_snap_pct,total_snaps,gsis_id_depth_chart,position_depth_chart,depth_team,fanduel_fantasy_points,avg_fppg,seasons_played,last_season,total_games
00-0036100,I.Zuber,Isaiah Zuber,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fnnnosvydm195mhksb4s",NE,2020,3,REG,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,13.0,0.0,0.0,0.0,1.0,0.8947658538818359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.2999999523162842,1.2999999523162842,00-0036100,WR,2020_03_LV_NE,202009270nwe,REG,ZubeIs00,WR,NE,LV,6.0,9.0,0.0,0.0,0.0,0.0,6.0,,,,1.3,0.0,1,2020,5
00-0036110,J.Bradley,Ja'Marcus Bradley,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zt4nt4auwksfvxfclbwk",CLE,2020,16,REG,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,11.0,60.0,0.0,0.0,0.0,126.0,11.0,2.0,1.0428364276885986,0.0,0.4761904776096344,0.2199999988079071,0.3142144680023193,0.549950122833252,0.0,6.0,11.0,00-0036110,WR,2020_16_CLE_NYJ,202012270nyj,REG,BradJa01,WR,CLE,NYJ,77.0,95.0,0.0,0.0,0.0,0.0,77.0,,,,8.5,0.0,2,2021,5
00-0036133,J.Proche,James Proche,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/me4h87meacls1jjh0cug",BAL,2020,8,REG,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-7.599447250366211,0.0,0.0,0.0384615398943424,0.018433179706335,0.0705955326557159,0.0,0.0,0.0,00-0036133,WR,2020_08_PIT_BAL,202011010rav,REG,ProcJa00,WR,BAL,PIT,3.0,4.0,0.0,0.0,6.0,0.23,9.0,00-0036133,WR,3.0,0.0,0.0,5,2024,53
00-0036142,I.Wright,Isaiah Wright,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ndgmtw52eaxjpuyfue4m",WAS,2020,3,REG,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,6.0,0.0,0.0,0.0,0.0,0.1905873715877533,0.0,4.0,6.0,24.0,0.0,0.0,0.0,32.0,26.0,1.0,0.1320220082998275,0.0,0.75,0.1666666716337204,0.1311475336551666,0.3418032824993133,0.0,3.0,7.0,00-0036142,WR,2020_03_WAS_CLE,202009270cle,REG,WrigIs01,WR,WAS,CLE,29.0,45.0,0.0,0.0,14.0,0.5,43.0,00-0036142,WR,2.0,5.0,0.0,1,2020,32
00-0036173,T.Hudson,Tommy Hudson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qjv7a2gvgt7w8voytjeb",TEN,2021,2,REG,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,14.0,0.0,0.0,0.0,2.0,14.0,1.0,-1.2691766023635864,0.0,7.0,0.0512820519506931,0.00492610828951,0.0803713500499725,0.0,1.399999976158142,2.400000095367432,00-0036173,TE,2021_02_TEN_SEA,202109190sea,REG,HudsTo00,TE,TEN,SEA,21.0,24.0,0.0,0.0,7.0,0.19,28.0,00-0036173,TE,3.0,1.9,0.0,1,2021,5
00-0036188,A.Williams,Antonio Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lrv5bhws8lzbwqernv6s",BUF,2020,17,REG,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,12.0,63.0,2.0,0.0,0.0,4.0,2.231978416442871,0.0,1.0,1.0,20.0,0.0,0.0,0.0,4.0,16.0,1.0,1.4815832376480105,0.0,5.0,0.0270270276814699,0.0087145967409014,0.046640757471323,0.0,20.299999237060547,21.299999237060547,00-0036188,RB,2020_17_MIA_BUF,202101030buf,REG,WillAn03,RB,BUF,MIA,28.0,44.0,0.0,0.0,0.0,0.0,28.0,,,,20.8,0.0,1,2020,2
00-0036194,D.Asiasi,Devin Asiasi,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ag0lglz7kkq6d29iqxl8",NE,2020,14,REG,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,-3.3181300163269043,0.0,0.0,0.0434782616794109,0.0492957755923271,0.0997244343161583,0.0,0.0,0.0,00-0036194,TE,2020_14_NE_LA,202012100ram,REG,AsiaDe00,TE,NE,LA,23.0,39.0,0.0,0.0,0.0,0.0,23.0,,,,0.0,0.0,2,2022,9
00-0036196,G.Davis,Gabe Davis,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rlmgjtfct5qjtbwcjqg6",BUF,2020,1,REG,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,16.0,0.0,0.0,0.0,8.0,8.0,0.0,0.4025375545024872,0.0,2.0,0.0444444455206394,0.0291970800608396,0.0871046259999275,0.0,1.600000023841858,3.5999999046325684,00-0036196,WR,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0036196,WR,2.0,2.6,0.0,5,2024,86
00-0036197,J.Fromm,Jake Fromm,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ttrbh2olexnevobzvhub",NYG,2021,15,REG,DAL,6.0,12.0,82.0,0.0,0.0,1.0,3.0,0.0,0.0,123.0,16.0,4.0,-0.6246030926704407,0.0,0.6666666865348816,0.0028492654673755,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,3.2799999713897705,3.2799999713897705,00-0036197,QB,2021_15_DAL_NYG,202112190nyg,REG,FromJa00,QB,NYG,DAL,13.0,21.0,0.0,0.0,0.0,0.0,13.0,00-0036197,QB,3.0,3.28,0.0,1,2021,4
00-0036208,A.Pierce,Artavis Pierce,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yyb62mnfyphbutq3hpy7",CHI,2020,10,REG,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.0,9.0,0.0,0.0,0.0,0.0,-0.95150625705719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.8999999761581421,0.8999999761581421,00-0036208,RB,2020_10_MIN_CHI,202011160chi,REG,PierAr00,RB,CHI,MIN,6.0,12.0,0.0,0.0,0.0,0.0,6.0,00-0036208,RB,3.0,0.9,0.0,1,2020,4
00-0036219,M.Callaway,Marquez Callaway,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zrqsn3ae99gkgpi97qzr",NO,2020,4,REG,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,16.0,0.0,0.0,0.0,11.0,5.0,1.0,0.9221195578575134,0.0,1.454545497894287,0.0399999991059303,0.0472103022038936,0.0930472090840339,0.0,1.600000023841858,2.5999999046325684,00-0036219,WR,2020_04_NO_DET,202010040det,REG,CallMa01,WR,NO,DET,15.0,21.0,0.0,0.0,4.0,0.16,19.0,00-0036219,WR,2.0,2.1,0.0,3,2022,101
00-0036226,J.Eason,Jacob Eason,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e2qgyhtngjk0llvaswxe",IND,2021,2,REG,LA,2.0,5.0,25.0,0.0,1.0,0.0,-0.0,0.0,0.0,63.0,7.0,2.0,-3.1025431156158447,0.0,0.3968254029750824,-0.089296355843544,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,-1.0,-1.0,00-0036226,QB,2021_02_LA_IND,202109190clt,REG,EasoJa00,QB,IND,LA,5.0,7.000000000000001,0.0,0.0,0.0,0.0,5.0,00-0036226,QB,2.0,0.0,0.0,2,2022,4
00-0036228,D.Patmon,Dezmon Patmon,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mqyc6dcbtujx7ioohpmv",IND,2021,9,REG,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,3.0,0.0,0.1519355177879333,0.0,1.75,0.0344827584922313,0.0169491525739431,0.0635885447263717,0.0,0.699999988079071,1.7000000476837158,00-0036228,WR,2021_09_NYJ_IND,202111040clt,REG,PatmDe00,WR,IND,NYJ,20.0,32.0,0.0,0.0,0.0,0.0,20.0,,,,1.2000000000000002,0.0,2,2022,7
00-0036245,M.Perry,Malcolm Perry,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eni8pcqq0hvcat9cvirr",MIA,2020,8,REG,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,-5.0,0.0,0.0,0.0,0.0,-1.5538378953933716,0.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,8.0,1.0,0.7690314054489136,0.0,5.0,0.0454545468091964,0.0169491525739431,0.0800462216138839,0.0,0.5,1.5,00-0036245,RB,2020_08_LA_MIA,202011010mia,REG,PerrMa00,RB/W,MIA,LA,7.0,14.000000000000002,0.0,0.0,0.0,0.0,7.0,00-0036245,RB,3.0,1.0,0.0,1,2020,17
00-0036247,F.Swain,Freddie Swain,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ir3qlibvnweezkfabv50",SEA,2020,1,REG,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,17.0,0.0,0.0,0.0,6.0,11.0,0.0,1.1575584411621094,0.0,2.8333332538604736,0.0285714287310838,0.029268292710185,0.0633449479937553,0.0,1.7000000476837158,2.700000047683716,00-0036247,WR,2020_01_SEA_ATL,202009130atl,REG,SwaiFr00,WR,SEA,ATL,16.0,26.0,0.0,0.0,7.0,0.24,23.0,00-0036247,WR,2.0,2.2,0.0,3,2022,56
00-0036250,T.Davis,Tyler Davis,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/awihnovccbawpaof5pva",JAX,2020,6,REG,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,-1.7064179182052612,0.0,0.0,0.0454545468091964,0.0647481977939605,0.1135055571794509,0.0,0.0,0.0,00-0036250,TE,2020_06_DET_JAX,202010180jax,REG,DaviTy02,TE,JAX,DET,16.0,25.0,0.0,0.0,10.0,0.39,26.0,00-0036250,TE,3.0,0.0,0.0,3,2022,13
00-0036251,Z.Moss,Zack Moss,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oxrltdgoquiabhihhgnk",BUF,2020,1,REG,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,9.0,11.0,0.0,0.0,0.0,0.0,-5.603968620300293,0.0,3.0,4.0,16.0,1.0,0.0,0.0,9.0,11.0,1.0,-0.3161371052265167,0.0,1.7777777910232544,0.0888888910412788,0.0328467153012752,0.1563260406255722,0.0,8.699999809265137,11.699999809265137,00-0036251,RB,2020_01_NYJ_BUF,202009130buf,REG,MossZa00,RB,BUF,NYJ,39.0,45.0,0.0,0.0,0.0,0.0,39.0,00-0036251,RB,2.0,10.2,0.0,5,2024,70
00-0036255,D.Mims,Denzel Mims,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vxqhwwsx0ngjupeajnpm",NYJ,2020,7,REG,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,7.0,42.0,0.0,0.0,0.0,58.0,11.0,2.0,-0.0216607619076967,0.0,0.7241379022598267,0.3333333432674408,0.3972602784633636,0.7780821919441223,0.0,4.199999809265137,8.199999809265137,00-0036255,WR,2020_07_BUF_NYJ,202010250nyj,REG,MimsDe00,WR,NYJ,BUF,45.0,79.0,0.0,0.0,0.0,0.0,45.0,,,,6.2,0.0,3,2022,31
00-0036269,L.Perine,La'Mical Perine,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd2pagtwrgj0hopdspal",NYJ,2020,2,REG,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,3.0,17.0,0.0,0.0,0.0,1.0,-0.2099043726921081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.7000000476837158,1.7000000476837158,00-0036269,RB,2020_02_SF_NYJ,202009200nyj,REG,PeriLa00,RB,NYJ,SF,9.0,14.000000000000002,0.0,0.0,0.0,0.0,9.0,00-0036269,RB,3.0,1.7000000000000002,0.0,3,2023,16
00-0036278,J.Huntley,Jason Huntley,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gbnyqxaymlji05bnflc5",PHI,2020,1,REG,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.9926027059555054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.1000000014901161,0.1000000014901161,00-0036278,RB,2020_01_PHI_WAS,202009130was,REG,HuntJa01,RB,PHI,WAS,1.0,1.0,0.0,0.0,0.0,0.0,1.0,00-0036278,RB,3.0,0.1,0.0,2,2021,9
00-0036283,K.Robinson,Kenny Robinson,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a92bigr1l3xd9ycyjtss",CAR,2021,6,REG,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,1.0,6.0,6.0,00-0036283,SAF,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1,2021,2
00-0036308,I.Coulter,Isaiah Coulter,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wpkz05jnbitkowfmxaso",CHI,2021,12,REG,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,-0.8571832776069641,0.0,0.0,0.0270270276814699,0.0652818977832794,0.0862378701567649,0.0,0.0,0.0,00-0036308,WR,2021_12_CHI_DET,202111250det,REG,CoulIs00,WR,CHI,DET,14.0,20.0,0.0,0.0,0.0,0.0,14.0,,,,0.0,0.0,1,2021,2
00-0036312,J.Luton,Jake Luton,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/krvobstakocdgp3puv0g",JAX,2020,9,REG,HOU,26.0,38.0,304.0,1.0,1.0,2.0,16.0,1.0,0.0,334.0,124.0,13.0,3.225153923034668,0.0,0.910179615020752,0.1111754179000854,1.0,13.0,1.0,0.0,0.0,1.0,2.304609060287476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,21.459999084472656,21.459999084472656,00-0036312,QB,2020_09_HOU_JAX,202011080jax,REG,LutoJa00,QB,JAX,HOU,69.0,100.0,0.0,0.0,0.0,0.0,69.0,00-0036312,QB,1.0,23.46,0.0,1,2020,4
00-0036320,J.Charlton,Joseph Charlton,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekullk7pi9dtavlbvdcw",CAR,2020,9,REG,KC,1.0,1.0,28.0,0.0,0.0,0.0,-0.0,0.0,0.0,18.0,10.0,1.0,4.732203006744385,0.0,1.5555555820465088,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.1200000047683716,1.1200000047683716,00-0036320,P,2020_09_CAR_KC,202011080kan,REG,CharJo01,P,CAR,KC,0.0,0.0,0.0,0.0,10.0,0.32,10.0,00-0036320,P,1.0,1.12,0.0,1,2020,5
