nfl_player_id,nfl_player_name,nfl_display_name,nfl_position,nfl_position_group,sportradar_player_id,sportradar_name,sportradar_display_name,sportradar_first_name,sportradar_last_name,sportradar_position,sportradar_jersey,sportradar_height,sportradar_weight,sportradar_birth_date,sportradar_experience,sportradar_college,sportradar_team_alias,sportradar_status,match_type,match_score
00-0039893,B.Thomas,Brian Thomas,WR,WR,271a233e-68b3-4261-a3aa-7667eaf9d3cc,Brian Thomas Jr.,,Brian,Thomas,WR,7.0,74,209.0,2002-10-08,2,LSU,JAC,ACT,fuzzy_name_position,1.0
00-0039894,X.Worthy,Xavier Worthy,WR,WR,52e049b1-0a7a-4e7f-9866-d2848e9cc478,Xavier Worthy,,Xavier,Worthy,WR,1.0,71,165.0,2003-04-27,2,Texas,KC,ACT,exact_name_position,1.0
00-0039901,K.Coleman,Keon Coleman,WR,WR,6752915f-efe5-473d-a520-78cadfab6dda,Keon Coleman,,Keon,Coleman,WR,0.0,76,215.0,2003-05-17,2,Florida State,BUF,ACT,exact_name_position,1.0
00-0039907,J.Polk,Ja'Lynn Polk,WR,WR,446ecdc5-470d-4cb6-9a77-b54c108e3d3a,Ja'Lynn Polk,,Ja'Lynn,Polk,WR,1.0,73,203.0,2002-04-11,2,Washington,NE,ACT,exact_name_position,1.0
00-0039910,J.Daniels,Jayden Daniels,QB,QB,bab8c65a-9fff-410d-8e34-dc2f636d890e,Jayden Daniels,,Jayden,Daniels,QB,5.0,76,210.0,2000-12-18,2,LSU,WAS,ACT,exact_name_position,1.0
00-0039912,B.Sinnott,Ben Sinnott,TE,TE,b5c717af-9116-483c-9ab3-c9db0a988ab8,Ben Sinnott,,Ben,Sinnott,TE,82.0,76,247.0,2002-06-14,2,Kansas State,WAS,ACT,exact_name_position,1.0
00-0039915,L.McConkey,Ladd McConkey,WR,WR,473bc7e5-c393-4f21-9e49-3ffc16711238,Ladd McConkey,,Ladd,McConkey,WR,15.0,72,185.0,2001-11-11,2,Georgia,LAC,ACT,exact_name_position,1.0
00-0039916,R.Pearsall,Ricky Pearsall,WR,WR,aca4c1b8-915f-4295-92e4-05b51feee6b1,Ricky Pearsall,,Ricky,Pearsall,WR,1.0,73,189.0,2000-09-09,2,Florida,SF,ACT,exact_name_position,1.0
00-0039917,M.Penix,Michael Penix,QB,QB,6499a161-b221-4591-b122-d99ece1be64b,Michael Penix Jr.,,Michael,Penix,QB,9.0,75,220.0,2000-05-08,2,Washington,ATL,ACT,fuzzy_name_position,1.0
00-0039918,C.Williams,Caleb Williams,QB,QB,49d4b627-3f19-49a8-ae33-f539e0fb1f88,Caleb Williams,,Caleb,Williams,QB,18.0,73,226.0,2001-11-18,2,USC,CHI,ACT,exact_name_position,1.0
00-0039919,R.Odunze,Rome Odunze,WR,WR,f64694e0-0381-11ef-973d-5176a0ecbee4,Rome Odunze,,Rome,Odunze,WR,15.0,75,214.0,2002-06-03,2,Washington,CHI,ACT,exact_name_position,1.0
00-0039920,M.Corley,Malachi Corley,WR,WR,bae59933-8b94-4837-990e-f0a4ced3cdbb,Malachi Corley,,Malachi,Corley,WR,6.0,71,215.0,2002-03-21,2,Western Kentucky,NYJ,ACT,exact_name_position,1.0
00-0039921,T.Benson,Trey Benson,RB,RB,0c1253f2-1822-445d-8590-fea6fd32703f,Trey Benson,,Trey,Benson,RB,33.0,72,220.0,2002-07-23,2,Florida State,ARI,ACT,exact_name_position,1.0
