player_id,player_name,player_display_name,position_x,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,gsis_id,position_y,game_id,offensive_snaps,defensive_snaps,special_teams_snaps,total_snaps,offensive_snap_pct,defensive_snap_pct,special_teams_snap_pct,gsis_id_depth_chart,position,depth_team,fanduel_fantasy_points,seasons_played,last_season,total_games
00-0035848,D.Harris,DeMichael Harris,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mrren8m5euy8x1amvqus",IND,2020,6,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,29.0,0,0.0,0.0,6.0,23.0,1.0,1.7425575,0,4.8333335,0.071428575,0.017492712,0.11938775,0.0,2.9,5.9,00-0035848,WR,2020_06_CIN_IND,12.0,0.0,6.0,18.0,19.35483870967742,0.0,20.689655172413797,,,,4.4,1,2020,6
00-0035860,T.Jones,Tony Jones,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cgvll8lokulmws98olfa",NO,2020,17,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,13.0,0,0.0,0.0,1.0,0.42865837,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.3,1.3,00-0035860,RB,2020_17_NO_CAR,5.0,0.0,0.0,5.0,7.8125,0.0,0.0,,,,1.3,5,2024,21
00-0035864,K.Hinton,Kendall Hinton,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emvbhstqosvayr6dm2jp",DEN,2020,12,REG,NO,1,9,13.0,0,2.0,1.0,1.0,0,0,134.0,16.0,1.0,-11.930539,0,0.09701493,-0.12896273,2,7.0,0,0.0,0.0,0.0,-1.4086187,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-2.78,-2.78,00-0035864,WR,2020_12_NO_DEN,25.0,0.0,0.0,25.0,56.81818181818182,0.0,0.0,,,,-0.7799999999999999,3,2022,37
00-0035869,A.Mack,Austin Mack,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b0qw4yrgtryeikt4fypi",NYG,2020,6,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,1.0,0,0.0,0.0,1.0,0.0,0.0,-0.5535247,0,1.0,0.055555556,0.008,0.088933334,0.0,0.1,1.1,00-0035869,WR,2020_06_WAS_NYG,35.0,0.0,0.0,35.0,72.91666666666666,0.0,0.0,,,,0.6,1,2020,5
00-0035883,M.Ffrench,Maurice Ffrench,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uyhv8s8fjussx1idbxss",LAC,2021,16,REG,HOU,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,0.0,-0.28047347,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.3,0.3,00-0035883,WR,2021_16_LAC_HOU,2.0,0.0,3.0,5.0,3.1746031746031744,0.0,11.11111111111111,,,,0.3,1,2021,1
00-0035898,D.Bradwell,Darius Bradwell,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/disdrxqtrv91rtoolwup",LAC,2021,12,REG,DEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,-0.44896725,0,0.0,0.022727273,0.0034843206,0.036529932,0.0,0.0,0.0,00-0035898,RB,2021_12_LAC_DEN,7.0,0.0,10.0,17.0,11.475409836065571,0.0,50.0,,,,0.0,1,2021,1
00-0035908,G.Nabers,Gabe Nabers,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dbxerjvfk8aqe26t0eny",LAC,2020,4,REG,TB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,4.0,0,0.0,0.0,0.0,-0.25616437,0,1,1,5.0,0,0.0,0.0,2.0,3.0,0.0,-0.05675351,0,2.5,0.04,0.010638298,0.067446806,0.0,0.9,1.9,00-0035908,FB,2020_04_LAC_TB,7.0,0.0,18.0,25.0,9.333333333333334,0.0,56.25,00-0035908,FB,1.0,1.4,2,2021,13
00-0035912,L.Bellamy,LeVante Bellamy,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cp6swcvzcfe3zwpoymke",DEN,2020,16,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,11.0,0,0.0,0.0,0.0,-0.4965256,0,1,1,5.0,0,0.0,0.0,0.0,5.0,0.0,-0.85652274,0,0.0,0.023255814,0.0,0.034883723,0.0,1.6,2.6,00-0035912,RB,2020_16_DEN_LAC,8.0,0.0,16.0,24.0,13.333333333333334,0.0,57.14285714285714,,,,2.1,1,2020,2
00-0035939,B.Perkins,Bryce Perkins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mouuxpmyg8wgcrtfc0tr",LA,2022,10,REG,ARI,1,1,-3.0,0,0.0,0.0,-0.0,0,0,-3.0,0.0,0.0,-1.1198843,0,0.0,,3,4.0,0,0.0,0.0,0.0,-2.2334282,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.28,0.28,00-0035939,QB,2022_10_ARI_LA,6.0,0.0,0.0,6.0,9.230769230769232,0.0,0.0,,,,0.28,1,2022,5
00-0035950,M.Hartsfield,Myles Hartsfield,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gk1w1temj96w6wmgyy5x",CAR,2020,7,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,2.0,0,0.0,0.0,0.0,-1.1623842,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.2,0.2,00-0035950,FS,2020_07_CAR_NO,4.0,0.0,12.0,16.0,5.797101449275362,0.0,54.54545454545454,00-0035950,FS,3.0,0.2,1,2020,1
00-0035957,R.Smith,Rodney Smith,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xd2tfhcsbxeokt2bisun",CAR,2020,10,REG,TB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,13.0,0,0.0,0.0,1.0,-0.11910276,0,1,1,2.0,0,0.0,0.0,0.0,2.0,0.0,-0.57027096,0,0.0,0.035714287,0.0,0.05357143,0.0,1.5,2.5,00-0035957,RB,2020_10_TB_CAR,9.0,0.0,0.0,9.0,18.367346938775512,0.0,0.0,,,,2.0,2,2021,8
00-0035976,D.Chisena,Dan Chisena,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwiqdrtc7vgrvngxoiix",CAR,2024,13,REG,TB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,6.0,0,0.0,0.0,5.0,1.0,0.0,0.23837087,0,1.2,0.024390243,0.012468828,0.045313545,0.0,0.6,1.6,00-0035976,WR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1,1,2024,3
00-0036000,A.Killins,Adrian Killins,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ip1zbhwbowhy8zkqzmng",PHI,2020,4,REG,SF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-12.0,0,0.0,0.0,0.0,-1.7750083,0,1,1,2.0,0,0.0,0.0,-4.0,6.0,0.0,-0.26891345,0,-0.5,0.03846154,-0.02631579,0.039271254,0.0,-1.0,0.0,00-0036000,RB,2020_04_PHI_SF,8.0,0.0,0.0,8.0,12.5,0.0,0.0,,,,-0.5000000000000002,1,2020,1
00-0036005,N.Togiai,Noah Togiai,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/evxzsdrwsxqg5jobzl0r",IND,2020,3,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,3.0,0.0,0.0,-1.1779869,0,0.0,0.04,0.02097902,0.07468531,0.0,0.0,0.0,00-0036005,TE,2020_03_NYJ_IND,14.0,0.0,6.0,20.0,24.13793103448276,0.0,22.22222222222222,00-0036005,TE,2.0,0.0,2,2022,2
