Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107566-89981,WR,Tee,Tee Higgins,Higgins,7.199999809265137,2,6800,BAL@CIN,CIN,BAL,,,,,,WR/FLEX
107566-63519,QB,Daniel,Daniel Jones,Jones,13.8100004196167,4,6700,NYG@SEA,NYG,SEA,,,,,,QB
107566-6654,QB,Matthew,Matthew Stafford,Stafford,11.005000114440918,4,6700,GB@LAR,LAR,GB,,,,,,QB
107566-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,5.800000190734863,4,6700,ARI@SF,SF,ARI,,,,,,WR/FLEX
107566-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,11.399999618530273,4,6700,MIA@NE,NE,MIA,,,,,,RB/FLEX
107566-61798,QB,Gardner,Gardner Minshew II,Minshew II,11.420000076293945,4,6600,LV@DEN,LV,DEN,,,,,,QB
107566-70027,RB,Zack,Zack Moss,Moss,13.074999809265137,4,6600,BAL@CIN,CIN,BAL,,,,,,RB/FLEX
107566-102965,QB,Bo,Bo Nix,Nix,12.350000381469727,4,6600,LV@DEN,DEN,LV,,,,,,QB
107566-56250,WR,Terry,Terry McLaurin,McLaurin,10.899999618530273,4,6600,CLE@WAS,WAS,CLE,,,,,,WR/FLEX
107566-90573,WR,Jaylen,Jaylen Waddle,Waddle,8.350000381469727,4,6500,MIA@NE,MIA,NE,,,,,,WR/FLEX
107566-90575,RB,Najee,Najee Harris,Harris,9.050000190734863,4,6500,DAL@PIT,PIT,DAL,,,,,,RB/FLEX
107566-30231,QB,Jacoby,Jacoby Brissett,Brissett,7.635000228881836,4,6500,MIA@NE,NE,MIA,,,,,,QB
107566-91750,TE,Trey,Trey McBride,McBride,8.40000025431315,3,6500,ARI@SF,ARI,SF,Q,Concussion,,,,TE/FLEX
107566-91598,RB,D'Andre,D'Andre Swift,Swift,10.600000381469727,4,6400,CAR@CHI,CHI,CAR,,,,,,RB/FLEX
107566-63043,WR,DJ,DJ Moore,Moore,9.175000190734863,4,6400,CAR@CHI,CHI,CAR,,,,,,WR/FLEX
107566-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,12.324999809265137,4,6300,IND@JAC,JAC,IND,,,,,,WR/FLEX
107566-151794,TE,Brock,Brock Bowers,Bowers,8.199999809265137,4,6300,LV@DEN,LV,DEN,,,,,,TE/FLEX
107566-90533,RB,Jerome,Jerome Ford,Ford,10.824999809265137,4,6300,CLE@WAS,CLE,WAS,,,,,,RB/FLEX
107566-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,9.524999618530273,4,6300,NYG@SEA,SEA,NYG,,,,,,WR/FLEX
107566-40482,QB,Tim,Tim Boyle,Boyle,3.759999990463257,1,6300,MIA@NE,MIA,NE,,,,,,QB
107566-69294,QB,Skylar,Skylar Thompson,Thompson,3.940000057220459,2,6300,MIA@NE,MIA,NE,Q,Ribs,,,,QB
107566-89230,RB,Cam,Cam Akers,Akers,5.566666920979817,3,6200,BUF@HOU,HOU,BUF,,,,,,RB/FLEX
107566-31001,WR,Amari,Amari Cooper,Cooper,8.699999809265137,4,6200,CLE@WAS,CLE,WAS,,,,,,WR/FLEX
107566-27050,WR,Tyler,Tyler Lockett,Lockett,7.224999904632568,4,6200,NYG@SEA,SEA,NYG,Q,Thigh,,,,WR/FLEX
107566-86518,WR,Khalil,Khalil Shakir,Shakir,11.050000190734863,4,6200,BUF@HOU,BUF,HOU,Q,Ankle,,,,WR/FLEX
107566-89680,TE,Jake,Jake Ferguson,Ferguson,7.966666539510091,3,6200,DAL@PIT,DAL,PIT,,,,,,TE/FLEX
107566-70603,RB,Devin,Devin Singletary,Singletary,10.574999809265137,4,6200,NYG@SEA,NYG,SEA,Q,Groin,,,,RB/FLEX
107566-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,9.949999809265137,4,6100,NYG@SEA,NYG,SEA,Q,Heel,,,,WR/FLEX
107566-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.425000190734863,4,6100,BUF@HOU,BUF,HOU,,,,,,TE/FLEX
107566-89493,RB,Chase,Chase Brown,Brown,9.25,4,6100,BAL@CIN,CIN,BAL,,,,,,RB/FLEX
107566-60858,WR,Christian,Christian Kirk,Kirk,7.849999904632568,4,6100,IND@JAC,JAC,IND,,,,,,WR/FLEX
107566-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,7.900000095367432,4,6100,IND@JAC,IND,JAC,,,,,,WR/FLEX
107566-103376,RB,Zach,Zach Charbonnet,Charbonnet,14.649999618530273,4,6100,NYG@SEA,SEA,NYG,,,,,,RB/FLEX
107566-86081,QB,Emory,Emory Jones,Jones,,0,6000,BAL@CIN,BAL,CIN,,,,,,QB
107566-114763,QB,Gavin,Gavin Hardison,Hardison,,0,6000,MIA@NE,MIA,NE,,,,,,QB
107566-88147,QB,Chevan,Chevan Cordeiro,Cordeiro,,0,6000,NYG@SEA,SEA,NYG,,,,,,QB
107566-169087,QB,Austin,Austin Reed,Reed,,0,6000,CAR@CHI,CHI,CAR,,,,,,QB
107566-80001,RB,Austin,Austin Ekeler,Ekeler,10.299999872843424,3,6000,CLE@WAS,WAS,CLE,Q,Concussion,,,,RB/FLEX
107566-104576,QB,Sam,Sam Howell,Howell,16.355294620289524,17,6000,NYG@SEA,SEA,NYG,,,,,,QB
107566-86200,QB,Sean,Sean Clifford,Clifford,0.3199999928474426,4,6000,GB@LAR,GB,LAR,,,,,,QB
107566-149696,QB,Trey,Trey Lance,Lance,0,1,6000,DAL@PIT,DAL,PIT,,,,,,QB
107566-93382,QB,Aidan,Aidan O'Connell,O'Connell,7.28000020980835,1,6000,LV@DEN,LV,DEN,,,,,,QB
107566-69833,QB,Shane,Shane Buechele,Buechele,,0,6000,BUF@HOU,BUF,HOU,IR,Neck,,,,QB
107566-45259,QB,Logan,Logan Woodside,Woodside,0.3400000035762787,2,6000,BAL@CIN,CIN,BAL,,,,,,QB
107566-54507,QB,Alex,Alex McGough,McGough,,0,6000,GB@LAR,GB,LAR,Q,Undisclosed,,,,QB
107566-93428,QB,Jack,Jack Plummer,Plummer,,0,6000,CAR@CHI,CAR,CHI,,,,,,QB
107566-91390,QB,Joe,Joe Milton III,Milton III,,0,6000,MIA@NE,NE,MIA,,,,,,QB
107566-86278,QB,Desmond,Desmond Ridder,Ridder,11.789999961853027,16,6000,ARI@SF,ARI,SF,,,,,,QB
107566-129291,WR,Tank,Tank Dell,Dell,5.966666539510091,3,6000,BUF@HOU,HOU,BUF,Q,Chest,,,,WR/FLEX
107566-24849,QB,Jameis,Jameis Winston,Winston,0.25,2,6000,CLE@WAS,CLE,WAS,,,,,,QB
107566-129305,WR,Josh,Josh Downs,Downs,10.949999809265137,2,6000,IND@JAC,IND,JAC,,,,,,WR/FLEX
